hash,count,names,files
0009c1b0f1931a5e71ae52cc62da2911,2,"['_coerce', '_coerce']","['.\\calculations.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
0458540784201855dfc3c1ea8dbcc344,5,"['USE_PERFORM_CALCULATIONS', 'USE_PERFORM_CALCULATIONS', 'USE_PERFORM_CALCULATIONS', 'USE_PERFORM_CALCULATIONS', 'USE_PERFORM_CALCULATIONS']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\pdf_template_engine\\placeholders.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\placeholders.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\placeholders.py.insert.py']"
05d6d25770e30c576216a85fe390c505,3,"['test_existing_product_update', 'test_existing_product_update', 'test_existing_product_update']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_admin_workflow.py.insert.py', '.\\tests\\test_admin_workflow.py', '.\\tools\\portings\\patches\\test_admin_workflow.py.insert.py']"
06b0fe0463fa43608f4941f7503ddaff,5,"['calculate_savings', 'calculate_savings', 'calculate_savings', 'calculate_savings', 'calculate_savings']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\tools\\custom_dynamic_calculation.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\tools\\custom_dynamic_calculation.py.insert.py', '.\\tools\\custom_dynamic_calculation.py', '.\\tools\\out_selected\\patches\\tools\\custom_dynamic_calculation.py.insert.py', '.\\tools\\portings\\patches\\tools\\custom_dynamic_calculation.py.insert.py']"
06c29a96a6557d6a71a51b171f875a30,3,"['set_max', 'set_max', 'set_max']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
07eab4ea5a4e209de0c06806df4988ec,3,"['test_logo_rendering_debug', 'test_logo_rendering_debug', 'test_logo_rendering_debug']","['.\\debug_logo_pdf.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\debug_logo_pdf.py.insert.py', '.\\tools\\portings\\patches\\debug_logo_pdf.py.insert.py']"
0de66f868ed27fb7b1467f73e8745af9,3,"['name_in2', 'name_in2', 'name_in2']","['.\\dev_tools\\kakerlake_ultra_cleaner.py', '.\\mnt\\data\\kakerlake_ultra_cleaner.py', '.\\tools\\kakerlake_ultra_cleaner.py']"
0e1544470d5d203cc3d5afb340cf0d85,5,"['_remove_text_from_page', '_remove_text_from_page', '_remove_text_from_page', '_remove_text_from_page', '_remove_text_from_page']","['.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\pdf_template_engine\\dynamic_overlay.py', '.\\tools\\out_selected\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py', '.\\tools\\portings\\patches\\pdf_template_engine\\dynamic_overlay.py.insert.py']"
0e563925a74c1165a52288924145577f,3,"['test_coords_wp_directory', 'test_coords_wp_directory', 'test_coords_wp_directory']","['.\\notwendig oder nicht\\wichtig\\portings\\patches\\test_hp_functions.py.insert.py', '.\\tests\\test_hp_functions.py', '.\\tools\\portings\\patches\\test_hp_functions.py.insert.py']"
0fe4ac0ecdbc7e71fce1e7175a92680d,3,"['extract_placeholders_from_offer', 'extract_placeholders_from_offer', 'extract_placeholders_from_offer']","['.\\heatpump_pricing.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\heatpump_pricing.py.insert.py', '.\\tools\\out_selected\\patches\\heatpump_pricing.py.insert.py']"
108d21185c83f562111e554f1cd57ff0,3,"['progress', 'progress', 'progress']","['.\\components\\progress_manager.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_manager.py.insert.py', '.\\tools\\out_selected\\patches\\components\\progress_manager.py.insert.py']"
10dbbdbc179529b01db8e5e4675ec565,2,"['insert_at_line', 'insert_at_line']","['.\\notwendig oder nicht\\wichtig\\repo_porter.py', '.\\tools\\repo_porter.py']"
123378809deb971a2d986fae758725f4,5,"['delete_brand_logo', 'delete_brand_logo', 'delete_brand_logo', 'delete_brand_logo', 'delete_brand_logo']","['.\\brand_logo_db.py', '.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\notwendig oder nicht\\wichtig\\portings\\patches\\brand_logo_db.py.insert.py', '.\\tools\\out_selected\\patches\\brand_logo_db.py.insert.py', '.\\tools\\portings\\patches\\brand_logo_db.py.insert.py']"
13506a6cccbfd260a52ff997d087c805,2,"['render_ui', 'render_ui']","['.\\multi_offer_generator.py', '.\\multi_offer_generator_new.py']"
