name,distinct_impls,files
__init__,32,.\ai_companion.py | .\calculations.py | .\central_pdf_system.py | .\components\__init__.py | .\components\progress_manager.py | .\crm_calendar_ui.py | .\crm_pipeline_ui.py | .\dev_tools\kakerlake_ultra_cleaner.py | .\excel_eval.py | .\mnt\data\kakerlake_ultra_cleaner.py | .\multi_offer_generator.py | .\multi_offer_generator_new.py | .\multi_offer_generator_old.py | .\notwendig oder nicht\wichtig\out_selected\patches\components\progress_manager.py.insert.py | .\pdf_atomizer.py | .\pdf_generator.py | .\pdf_helpers.py | .\pdf_preview.py | .\pdf_styles.py | .\pdf_widgets.py | .\tools\kakerlake_ultra_cleaner.py | .\tools\out_selected\patches\components\progress_manager.py.insert.py
_draw_cover_letter,2,.\pdf_generator.py
_draw_cover_page,2,.\pdf_generator.py
_draw_custom_content,2,.\pdf_generator.py
_draw_offer_table,2,.\pdf_generator.py
_dummy_generate_offer_pdf,2,.\doc_output.py | .\pdf_ui.py
_dummy_get_db_connection_ex,2,.\crm.py | .\product_db.py
_dummy_get_db_connection_ie,2,.\crm.py | .\product_db.py
_dummy_get_product_by_model_name,2,.\admin_panel.py | .\solar_calculator.py
_dummy_list_products,2,.\admin_panel.py | .\solar_calculator.py
_dummy_load_admin_setting_pdf_ui,2,.\doc_output.py | .\pdf_ui.py
_generate_company_pdf,2,.\multi_offer_generator.py | .\multi_offer_generator_new.py
_initialize_session_state,2,.\central_pdf_system.py | .\components\progress_manager.py | .\notwendig oder nicht\wichtig\out_selected\patches\components\progress_manager.py.insert.py | .\tools\out_selected\patches\components\progress_manager.py.insert.py
_norm_key,3,.\pdf_atomizer.py | .\pdf_template_engine\placeholders.py | .\tools\import_module_attributes_generic.py
_prepare_offer_data,2,.\multi_offer_generator.py | .\multi_offer_generator_new.py
calculate_detailed_co2_analysis,2,.\calculations.py
calculate_lcoe,2,.\calculations_extended.py
