file,lineno,lhs,rhs_sig,rhs_shape,rhs_vars,line
.\check_companies.py,6,DB_PATH,"('Call', ('Attr', 'os.path', 'join'), (('Call', ('Attr', 'os', 'getcwd'), (), ()), ('Const', ""'data'""), ('Const', ""'app_data.db'"")), ())","('Call', 3, 0)",os,"DB_PATH = os.path.join(os.getcwd(), 'data', 'app_data.db')"
.\check_db.py,8,DB_PATH,"('Call', ('Attr', 'os.path', 'join'), (('Name', 'BASE_DIR'), ('Const', ""'data'""), ('Const', ""'app_data.db'"")), ())","('Call', 3, 0)","BASE_DIR,os","DB_PATH = os.path.join(BASE_DIR, 'data', 'app_data.db')"
.\update_tariffs.py,8,DB_PATH,"('Call', ('Attr', 'os.path', 'join'), (('Name', 'BASE_DIR'), ('Const', ""'data'""), ('Const', ""'app_data.db'"")), ())","('Call', 3, 0)","BASE_DIR,os","DB_PATH = os.path.join(BASE_DIR, 'data', 'app_data.db')"
.\data_input.py,285,EFFECTIVE_GOOGLE_API_KEY,"('Name', 'Maps_API_KEY_FROM_ENV')","('Name',)",Maps_API_KEY_FROM_ENV,EFFECTIVE_GOOGLE_API_KEY = Maps_API_KEY_FROM_ENV
.\data_input.py,289,EFFECTIVE_GOOGLE_API_KEY,"('Name', 'api_key_from_db')","('Name',)",api_key_from_db,EFFECTIVE_GOOGLE_API_KEY = api_key_from_db
.\pdf_ui.py,1280,_,"('Call', ('Name', 'add_customer_document'), (('Name', 'created_customer_id'), ('Name', 'pdf_bytes_to_download')), (('display_name', ('Name', 'file_name')), ('doc_type', ('Const', ""'offer_pdf'"")), ('project_id', ('Name', 'created_project_id')), ('suggested_filename', ('Name', 'file_name'))))","('Call', 2, 4)","add_customer_document,created_customer_id,created_project_id,file_name,pdf_bytes_to_download",_ = add_customer_document(
.\pdf_ui.py,1295,_,"('Call', ('Name', 'add_customer_document'), (('Name', 'created_customer_id'), ('Name', 'snapshot')), (('display_name', ('Name', 'json_name')), ('doc_type', ('Const', ""'project_json'"")), ('project_id', ('Name', 'created_project_id')), ('suggested_filename', ('Name', 'json_name'))))","('Call', 2, 4)","add_customer_document,created_customer_id,created_project_id,json_name,snapshot",_ = add_customer_document(
.\admin_panel.py,141,_add_company_document_safe,"('Name', '_dummy_add_company_document')","('Name',)",_dummy_add_company_document,_add_company_document_safe: Callable = _dummy_add_company_document
.\admin_panel.py,1758,_add_company_document_safe,"('Name', 'db_add_company_document_func')","('Name',)",db_add_company_document_func,_delete_company_safe = db_delete_company_func; _set_default_company_safe = db_set_default_company_func; _add_company_document_safe = db_add_company_document_func
.\admin_panel.py,136,_add_company_safe,"('Name', '_dummy_add_company')","('Name',)",_dummy_add_company,_add_company_safe: Callable = _dummy_add_company
