file,lineno,lhs,rhs_sig,rhs_shape,rhs_vars,line
.\crm.py,574,inverter_options,"('Add', (('List', (('Call', ('Name', 'get_text_crm'), (('Name', 'texts'), ('Const', ""'please_select_option'""), ('Const', ""'--- Bitte wählen ---'"")), ()),)), ('Other', 'ListComp')))","('Add', (('List', 1), ('Other', 'ListComp')))","get_text_crm,inverter_products,p,texts","inverter_options = [get_text_crm(texts, ""please_select_option"", ""--- Bitte wählen ---"")] + [p['model_name'] for p in inverter_products if p.get('model_name')]"
.\crm.py,566,module_options,"('Add', (('List', (('Call', ('Name', 'get_text_crm'), (('Name', 'texts'), ('Const', ""'please_select_option'""), ('Const', ""'--- Bitte wählen ---'"")), ()),)), ('Other', 'ListComp')))","('Add', (('List', 1), ('Other', 'ListComp')))","get_text_crm,module_products,p,texts","module_options = [get_text_crm(texts, ""please_select_option"", ""--- Bitte wählen ---"")] + [p['model_name'] for p in module_products if p.get('model_name')]"
.\crm.py,587,storage_options,"('Add', (('List', (('Call', ('Name', 'get_text_crm'), (('Name', 'texts'), ('Const', ""'please_select_option'""), ('Const', ""'--- Bitte wählen ---'"")), ()),)), ('Other', 'ListComp')))","('Add', (('List', 1), ('Other', 'ListComp')))","get_text_crm,p,storage_products,texts","storage_options = [get_text_crm(texts, ""please_select_option"", ""--- Bitte wählen ---"")] + [p['model_name'] for p in storage_products if p.get('model_name')]"
.\database.py,1296,new_id,"('Attr', 'cursor', 'lastrowid')","('Attr',)",cursor,new_id = cursor.lastrowid
.\product_db.py,173,product_id,"('Attr', 'cursor', 'lastrowid')","('Attr',)",cursor,conn.commit(); product_id = cursor.lastrowid
.\brand_logo_db.py,202,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,deleted_count = cursor.rowcount
.\notwendig oder nicht\wichtig\out_selected\patches\brand_logo_db.py.insert.py,206,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,deleted_count = cursor.rowcount
.\notwendig oder nicht\wichtig\portings\patches\brand_logo_db.py.insert.py,235,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,deleted_count = cursor.rowcount
.\product_db.py,205,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,"cursor.execute(""DELETE FROM products WHERE id=?"", (int(product_id),)); conn.commit(); deleted_count = cursor.rowcount"
.\tools\out_selected\patches\brand_logo_db.py.insert.py,206,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,deleted_count = cursor.rowcount
.\tools\portings\patches\brand_logo_db.py.insert.py,235,deleted_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,deleted_count = cursor.rowcount
.\brand_logo_db.py,273,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\brand_logo_db.py,356,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\notwendig oder nicht\wichtig\out_selected\patches\brand_logo_db.py.insert.py,283,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\notwendig oder nicht\wichtig\out_selected\patches\brand_logo_db.py.insert.py,372,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\notwendig oder nicht\wichtig\portings\patches\brand_logo_db.py.insert.py,326,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\notwendig oder nicht\wichtig\portings\patches\brand_logo_db.py.insert.py,429,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\tools\out_selected\patches\brand_logo_db.py.insert.py,283,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\tools\out_selected\patches\brand_logo_db.py.insert.py,372,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\tools\portings\patches\brand_logo_db.py.insert.py,326,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\tools\portings\patches\brand_logo_db.py.insert.py,429,updated_count,"('Attr', 'cursor', 'rowcount')","('Attr',)",cursor,updated_count = cursor.rowcount
.\notwendig oder nicht\wichtig\repo_porter.py,331,end,"('Attr', 'di', 'end_lineno')","('Attr',)",di,end = di.end_lineno
.\tools\repo_porter.py,331,end,"('Attr', 'di', 'end_lineno')","('Attr',)",di,end = di.end_lineno
.\notwendig oder nicht\wichtig\repo_porter.py,304,last,"('Attr', 'di', 'end_lineno')","('Attr',)",di,last = di.end_lineno
.\notwendig oder nicht\wichtig\repo_porter.py,315,last,"('Attr', 'di', 'end_lineno')","('Attr',)",di,last = di.end_lineno
.\tools\repo_porter.py,304,last,"('Attr', 'di', 'end_lineno')","('Attr',)",di,last = di.end_lineno
.\tools\repo_porter.py,315,last,"('Attr', 'di', 'end_lineno')","('Attr',)",di,last = di.end_lineno
.\dev_tools\kakerlake_ultra_cleaner.py,353,call,"('Attr', 'orig', 'value')","('Attr',)",orig,call=orig.value
.\mnt\data\kakerlake_ultra_cleaner.py,353,call,"('Attr', 'orig', 'value')","('Attr',)",orig,call=orig.value
.\tools\kakerlake_ultra_cleaner.py,354,call,"('Attr', 'orig', 'value')","('Attr',)",orig,call=orig.value
.\dev_tools\kakerlake_ultra_cleaner.py,479,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\dev_tools\kakerlake_ultra_cleaner_v2.py,217,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs = orig.value
.\dev_tools\kakerlake_ultra_cleaner_v2.py,361,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\dev_tools\kakerlake_ultra_cleaner_v3.py,230,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs = orig.value
.\dev_tools\kakerlake_ultra_cleaner_v3.py,377,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\mnt\data\kakerlake_ultra_cleaner.py,479,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\mnt\data\kakerlake_ultra_cleaner_v2.py,217,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs = orig.value
.\mnt\data\kakerlake_ultra_cleaner_v2.py,361,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\tools\kakerlake_ultra_cleaner.py,480,rhs,"('Attr', 'orig', 'value')","('Attr',)",orig,rhs=orig.value
.\dev_tools\kakerlake_ultra_cleaner.py,363,sub,"('Attr', 'orig', 'value')","('Attr',)",orig,sub=orig.value
.\mnt\data\kakerlake_ultra_cleaner.py,363,sub,"('Attr', 'orig', 'value')","('Attr',)",orig,sub=orig.value
.\tools\kakerlake_ultra_cleaner.py,364,sub,"('Attr', 'orig', 'value')","('Attr',)",orig,sub=orig.value
.\dev_tools\kakerlake_ultra_cleaner.py,405,val,"('Attr', 'orig', 'value')","('Attr',)",orig,val=orig.value
.\mnt\data\kakerlake_ultra_cleaner.py,405,val,"('Attr', 'orig', 'value')","('Attr',)",orig,val=orig.value
.\tools\kakerlake_ultra_cleaner.py,406,val,"('Attr', 'orig', 'value')","('Attr',)",orig,val=orig.value
.\components\progress_demo.py,159,config,"('Attr', 'progress_manager', 'config')","('Attr',)",progress_manager,config = progress_manager.config
.\components\progress_demo.py,138,original_config,"('Attr', 'progress_manager', 'config')","('Attr',)",progress_manager,original_config = progress_manager.config
.\multi_offer_generator.py,578,customer_data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,customer_data = st.session_state.multi_offer_customer_data
.\multi_offer_generator_new.py,279,customer_data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,customer_data = st.session_state.multi_offer_customer_data
.\multi_offer_generator.py,147,data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,data = st.session_state.multi_offer_customer_data
.\multi_offer_generator_new.py,143,data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,data = st.session_state.multi_offer_customer_data
.\multi_offer_generator_old.py,104,data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,data = st.session_state.multi_offer_customer_data
.\multi_offer_generator_old.py,457,data,"('Attr', 'st.session_state', 'multi_offer_customer_data')","('Attr',)",st,data = st.session_state.multi_offer_customer_data
.\multi_offer_generator.py,579,selected_companies,"('Attr', 'st.session_state', 'multi_offer_selected_companies')","('Attr',)",st,selected_companies = st.session_state.multi_offer_selected_companies
.\multi_offer_generator_new.py,280,selected_companies,"('Attr', 'st.session_state', 'multi_offer_selected_companies')","('Attr',)",st,selected_companies = st.session_state.multi_offer_selected_companies
.\multi_offer_generator_old.py,237,selected_company_ids,"('Attr', 'st.session_state', 'multi_offer_selected_companies')","('Attr',)",st,selected_company_ids = st.session_state.multi_offer_selected_companies
.\multi_offer_generator_old.py,712,selected_company_ids,"('Attr', 'st.session_state', 'multi_offer_selected_companies')","('Attr',)",st,selected_company_ids = st.session_state.multi_offer_selected_companies
.\data_input.py,155,inputs,"('Attr', 'st.session_state', 'project_data')","('Attr',)",st,"inputs: Dict[str, Any] = st.session_state.project_data"
.\solar_calculator.py,40,pd,"('Attr', 'st.session_state', 'project_data')","('Attr',)",st,pd = st.session_state.project_data
.\gui.py,271,_current_render_selected_key,"('Attr', 'st.session_state', 'selected_page_key_sui')","('Attr',)",st,_current_render_selected_key = st.session_state.selected_page_key_sui
.\gui.py,305,selected_page_key,"('Attr', 'st.session_state', 'selected_page_key_sui')","('Attr',)",st,selected_page_key = st.session_state.selected_page_key_sui
.\gui.py,269,st.session_state.selected_page_key_prev,"('Attr', 'st.session_state', 'selected_page_key_sui')","('Attr',)",st,st.session_state.selected_page_key_prev = st.session_state.selected_page_key_sui
.\debug_logo_pdf.py,79,temp_output,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_output = tmp_file.name
.\notwendig oder nicht\wichtig\portings\patches\debug_logo_pdf.py.insert.py,77,temp_output,"('Attr', 'tmp_file', 'name')","('Attr',)",tmp_file,temp_output = tmp_file.name
